## 1.1.1
## assembly	: /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/FirstScaffoldsStep0.FINAL.fasta
## coverage	 bam0 - /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/FirstScaffoldsStep0.FINAL.AllFastq_sorted.bam
## taxonomy	 tax0 - /project/elk_bison_genomics/Masonbrink/07_blobtools2juiced/AllBlasts.out
## nodesDB	: None
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6%s	phylum.s.7%s	phylum.c.8
HiC_scaffold_116	3000	0.3393	0	8.2511	Chordata	10975.999999999998	0
HiC_scaffold_117	1906	0.4203	0	0.0	Chordata	3854.0	0
HiC_scaffold_118	13000	0.3523	0	12.1863	Chordata	79600.40000000005	1
HiC_scaffold_119	36906	0.3965	100	6.9944	Chordata	287863.59999999957	2
HiC_scaffold_120	9000	0.488	0	10.4514	Chordata	123226.10000000002	0
HiC_scaffold_121	41000	0.4599	0	9.6599	Chordata	410879.7999999998	2
HiC_scaffold_122	2906	0.4363	0	6.8144	Chordata	9901.6	0
HiC_scaffold_123	6000	0.4173	0	9.0762	Chordata	55339.0	1
HiC_scaffold_124	13906	0.3721	0	7.8322	Chordata	72144.00000000007	1
HiC_scaffold_125	15094	0.3782	0	6.2318	Chordata	76949.69999999998	1
HiC_scaffold_126	63000	0.3752	0	9.7442	Chordata	183185.29999999984	1
HiC_scaffold_127	53000	0.3755	0	7.4727	Chordata	292386.89999999985	0
HiC_scaffold_128	3000	0.4053	0	6.6009	Chordata	10121.199999999997	0
HiC_scaffold_129	1000	0.314	0	0.0	Chordata	1854.0	0
HiC_scaffold_130	5906	0.4585	0	5.8677	Chordata	15725.3	0
HiC_scaffold_131	7000	0.3951	0	14.1448	Chordata	74791.79999999999	1
HiC_scaffold_132	3000	0.3577	0	11.5516	Chordata	13267.100000000002	0
HiC_scaffold_133	3000	0.3847	0	9.9014	Chordata	5485.299999999999	0
HiC_scaffold_134	3906	0.3694	0	13.942	Chordata	22457.1	0
HiC_scaffold_135	5094	0.3669	0	4.8593	Chordata	17973.0	0
HiC_scaffold_136	13000	0.3758	0	12.5671	Chordata	98676.0	0
HiC_scaffold_137	5000	0.3716	0	2.9704	Chordata	33453.7	0
HiC_scaffold_138	11906	0.4049	0	9.5637	Chordata	102688.70000000001	1
HiC_scaffold_139	2000	0.5665	0	0.0	Chordata	1706.0	0
HiC_scaffold_140	10000	0.4128	0	19.3076	Chordata	60924.000000000015	0
HiC_scaffold_141	7000	0.3997	0	8.4869	Chordata	56121.4	0
HiC_scaffold_142	11000	0.3885	0	8.1011	Chordata	77545.80000000002	0
HiC_scaffold_143	50000	0.4573	0	12.3767	Chordata	354867.69999999984	2
HiC_scaffold_144	6000	0.4125	0	20.6278	Chordata	69170.0	1
HiC_scaffold_145	49000	0.4281	0	8.992	Chordata	416782.3999999999	2
HiC_scaffold_146	1000	0.348	0	0.0	Chordata	1922.0	0
HiC_scaffold_147	1000	0.34	0	0.0	Chordata	3454.1	0
HiC_scaffold_148	3160	0.3918	0	4.7	Chordata	17176.9	0
HiC_scaffold_149	5000	0.4448	0	5.9408	Chordata	60907.3	0
HiC_scaffold_150	6000	0.373	0	15.6771	Chordata	37646.30000000001	0
HiC_scaffold_151	2000	0.34	0	2.4753	Chordata	6594.3	0
HiC_scaffold_152	6000	0.4218	0	7.426	Chordata	80983.29999999997	1
HiC_scaffold_153	2117	0.4554	0	9.3541	Chordata	15540.599999999999	0
HiC_scaffold_154	7000	0.3907	0	8.4869	Chordata	34384.49999999999	0
HiC_scaffold_155	3000	0.3687	0	1.6502	Chordata	9889.0	0
HiC_scaffold_156	20000	0.3676	0	12.8718	Chordata	219536.4	0
HiC_scaffold_157	1000	0.398	0	4.9507	Chordata	4465.8	0
HiC_scaffold_158	3117	0.394	0	4.7648	Chordata	8734.399999999998	0
HiC_scaffold_159	11000	0.4554	0	10.8015	Chordata	40372.9	0
HiC_scaffold_160	6000	0.5152	0	13.2018	Chordata	19775.299999999992	0
HiC_scaffold_161	3117	0.4504	0	1.5883	Chordata	25136.399999999998	0
HiC_scaffold_162	62932	0.6514	0	22.9708	Chordata	236776.99999999994	0
HiC_scaffold_163	10633	0.3862	0	3.7248	Chordata	42971.1	0
HiC_scaffold_164	66349	0.6817	0	27.9063	Chordata	249150.4	0
HiC_scaffold_165	18006	0.6837	0	27.2197	Chordata	66027.0	0
HiC_scaffold_166	8790	0.3838	0	3.9425	Chordata	88264.90000000001	0
HiC_scaffold_167	16735	0.4263	0	6.5082	Chordata	157850.9	1
HiC_scaffold_168	7678	0.3803	0	0.0	Chordata	24989.5	2
HiC_scaffold_169	14836	0.5111	0	3.6706	Chordata	46671.10000000001	0
HiC_scaffold_170	13715	0.3563	0	40.0675	Nematoda	128421.0	0
HiC_scaffold_171	13389	0.4318	0	0.3698	Chordata	62482.0	1
HiC_scaffold_172	6498	0.3897	0	3.8094	Chordata	101685.70000000001	1
HiC_scaffold_173	18786	0.376	0	4.48	Nematoda	194755.0	0
HiC_scaffold_174	12340	0.4047	0	2.4071	Chordata	46997.200000000004	0
HiC_scaffold_175	24009	0.3745	0	14.8465	Nematoda	261711.0	0
HiC_scaffold_176	5988	0.3712	0	0.0	Chordata	38201.799999999996	0
HiC_scaffold_177	23226	0.6796	0	33.2518	Chordata	85133.0	0
HiC_scaffold_178	10478	0.3989	0	1.4174	Chordata	102349.49999999999	1
HiC_scaffold_179	5106	0.5235	0	1.9392	Chordata	20989.600000000006	0
HiC_scaffold_180	15254	0.3629	0	18.8239	Nematoda	154325.0	0
HiC_scaffold_181	4426	0.3581	0	1.1185	Nematoda	23221.0	0
HiC_scaffold_182	16721	0.4186	0	3.2568	Chordata	101211.1	1
HiC_scaffold_183	14468	0.3732	0	17.4512	Nematoda	155478.8	0
HiC_scaffold_184	7170	0.4099	0	0.6905	Chordata	49515.99999999999	0
HiC_scaffold_185	14290	0.3893	0	2.7715	Chordata	171858.5	0
HiC_scaffold_186	24721	0.3636	0	2.4031	Nematoda	336424.0	0
HiC_scaffold_187	6848	0.4041	0	4.3376	Chordata	97327.0	0
HiC_scaffold_188	22863	0.6273	0	14.508	Chordata	74194.2	0
HiC_scaffold_189	55266	0.5173	0	5.1956	Chordata	329380.0	1
HiC_scaffold_190	25740	0.4217	0	4.2313	Chordata	116626.19999999995	0
HiC_scaffold_191	9247	0.3994	0	2.1415	Chordata	64085.0	0
HiC_scaffold_192	11356	0.4532	0	2.6157	Chordata	111105.4	1
HiC_scaffold_193	13434	0.5243	0	1.1056	Chordata	61564.0	0
HiC_scaffold_194	18131	0.3998	0	2.7305	Chordata	54282.89999999999	0
HiC_scaffold_195	10119	0.4119	0	6.3602	Chordata	63664.700000000004	0
HiC_scaffold_196	1067	0.5211	0	0.0	Chordata	13209.0	0
HiC_scaffold_197	10000	0.3966	0	5.9408	Chordata	68022.70000000001	0
HiC_scaffold_198	27000	0.3884	0	11.7349	Chordata	148835.0000000001	2
HiC_scaffold_199	9000	0.41	0	12.1017	Chordata	57318.30000000002	0
HiC_scaffold_200	8000	0.4085	0	33.4171	Chordata	323939.3	0
HiC_scaffold_201	5269	0.4923	0	9.3959	Chordata	8604.0	0
HiC_scaffold_202	21269	0.3932	0	7.4485	Chordata	209820.69999999995	1
HiC_scaffold_203	1812	0.4233	0	2.7322	Chordata	6824.900000000002	0
HiC_scaffold_204	19000	0.3782	100	4.453	Chordata	139738.3	1
HiC_scaffold_205	9812	0.4144	0	14.1275	Chordata	112113.60000000006	1
HiC_scaffold_206	3812	0.3961	0	10.3897	Chordata	19212.1	0
HiC_scaffold_207	9812	0.3842	0	6.0546	Chordata	51323.09999999999	0
HiC_scaffold_208	5000	0.3568	0	8.9112	Chordata	33656.0	0
HiC_scaffold_209	13000	0.3944	0	10.2822	Chordata	151566.9	0
HiC_scaffold_210	8000	0.4946	0	6.1883	Chordata	36727.09999999999	0
HiC_scaffold_211	12812	0.4811	0	3.0913	Chordata	158034.99999999997	0
HiC_scaffold_212	6812	0.3714	0	13.8084	Chordata	39426.59999999999	0
HiC_scaffold_213	1188	0.4066	0	0.0	Chordata	12045.0	1
HiC_scaffold_214	4000	0.3967	0	11.139	Chordata	39605.00000000001	0
HiC_scaffold_215	6000	0.4127	0	6.6009	Chordata	62929.0	1
HiC_scaffold_216	1881	0.4811	0	0.0	Chordata	6700.9000000000015	0
HiC_scaffold_217	2000	0.44	0	4.9507	Chordata	5858.0	0
HiC_scaffold_218	17000	0.3566	0	8.4453	Chordata	154930.80000000002	1
HiC_scaffold_219	2000	0.408	0	9.9014	Chordata	3420.1	0
HiC_scaffold_220	5000	0.4038	0	10.8915	Chordata	48755.99999999999	1
HiC_scaffold_221	13881	0.4163	0	12.1261	Chordata	106550.00000000006	0
HiC_scaffold_222	21776	0.3851	0	4.0922	Chordata	97719.50000000001	0
HiC_scaffold_223	35776	0.4188	0	5.9503	Chordata	251694.90000000008	1
HiC_scaffold_224	5224	0.3474	0	4.7384	Chordata	23561.399999999987	0
HiC_scaffold_225	2000	0.483	0	0.0	Chordata	7584.2	0
HiC_scaffold_226	10776	0.4541	0	5.9724	Chordata	42737.79999999999	1
HiC_scaffold_227	8000	0.3709	0	8.0449	Chordata	27256.100000000002	0
HiC_scaffold_228	18776	0.3978	0	6.3281	Chordata	134826.0999999999	2
HiC_scaffold_229	10776	0.3836	0	5.9724	Chordata	36890.0	0
HiC_scaffold_230	4000	0.35	0	9.9014	Chordata	30209.799999999992	0
HiC_scaffold_231	11000	0.3646	0	13.5018	Chordata	77891.80000000002	1
HiC_scaffold_232	1000	0.417	0	0.0	Chordata	8299.1	0
HiC_scaffold_233	3000	0.4047	0	6.6009	Chordata	23587.700000000004	0
HiC_scaffold_234	51000	0.3882	100	8.6564	Chordata	333858.8	1
HiC_scaffold_235	2000	0.3925	0	2.4753	Chordata	11532.499999999996	0
HiC_scaffold_236	5000	0.3896	0	13.8619	Chordata	37316.100000000006	0
HiC_scaffold_237	1000	0.37	0	0.0	Chordata	8767.0	0
HiC_scaffold_238	41000	0.3985	0	8.9354	Chordata	378271.99999999977	3
HiC_scaffold_239	8000	0.4154	0	12.9955	Chordata	32681.999999999996	0
HiC_scaffold_240	1000	0.381	0	0.0	Chordata	4119.0	1
HiC_scaffold_241	1000	0.324	0	0.0	Chordata	3468.5	0
HiC_scaffold_242	1121	0.5129	0	0.0	no-hit	0.0	0
HiC_scaffold_243	6214	0.3663	0	1.5934	Chordata	35022.0	0
HiC_scaffold_244	5591	0.3617	0	2.6564	Chordata	52368.6	0
HiC_scaffold_245	3683	0.4629	0	0.0	Chordata	14389.0	0
HiC_scaffold_246	7123	0.4999	0	2.7801	Chordata	8007.0	0
HiC_scaffold_247	2000	0.4995	0	0.0	Chordata	5495.1	0
HiC_scaffold_248	3000	0.412	0	6.6009	Chordata	8103.0	0
HiC_scaffold_249	1000	0.423	0	0.0	Chordata	2245.7	0
HiC_scaffold_250	6000	0.375	0	12.3767	Chordata	39099.0	0
HiC_scaffold_251	2000	0.3855	0	9.9014	Chordata	15410.3	0
HiC_scaffold_252	9000	0.4126	0	6.6009	Chordata	127173.0	0
HiC_scaffold_253	10000	0.3952	0	6.4359	Chordata	74648.70000000007	2
HiC_scaffold_254	50000	0.3816	0	8.7132	Chordata	396822.7999999997	0
HiC_scaffold_255	2000	0.4325	0	2.4753	Chordata	27640.0	0
HiC_scaffold_256	24401	0.6827	0	29.8246	Chordata	86480.6	0
HiC_scaffold_257	13100	0.4008	100	7.2356	Chordata	105606.0	0
HiC_scaffold_258	5000	0.3632	0	0.9901	Chordata	16219.400000000001	0
HiC_scaffold_259	20100	0.5502	100	144.5598	Chordata	85295.40000000001	2
HiC_scaffold_260	90300	0.6045	300	272.6173	Chordata	506384.59999999986	12
HiC_scaffold_261	15100	0.3811	100	6.2709	Chordata	66400.50000000003	1
HiC_scaffold_262	3558	0.3954	0	2.7828	Chordata	13765.699999999997	0
HiC_scaffold_263	3000	0.3727	0	0.0	Chordata	20066.0	0
HiC_scaffold_264	106094	0.4722	200	18.0927	Chordata	747494.4999999999	1
HiC_scaffold_265	39200	0.4498	200	25.0073	Chordata	806175.2000000001	2
HiC_scaffold_266	15002	0.4061	0	7.26	Chordata	65671.0	1
HiC_scaffold_267	2072	0.3499	0	0.0	Chordata	11425.699999999997	0
HiC_scaffold_268	9635	0.3926	0	2.0553	Chordata	56107.100000000006	0
HiC_scaffold_269	7258	0.3427	0	1.3642	Chordata	40741.0	0
HiC_scaffold_270	2342	0.5961	0	2.1139	Chordata	2804.4000000000005	0
HiC_scaffold_271	1504	0.4235	0	0.0	Chordata	1506.0	0
HiC_scaffold_272	8000	0.5048	0	29.0852	no-hit	0.0	0
HiC_scaffold_273	1000	0.345	0	0.0	Chordata	5234.0	0
HiC_scaffold_274	3000	0.3813	0	4.9507	Chordata	7903.600000000001	0
HiC_scaffold_275	3000	0.418	0	0.0	Chordata	12383.399999999996	1
HiC_scaffold_276	9000	0.3815	100	2.225	Chordata	39982.8	0
HiC_scaffold_277	1000	0.365	0	0.0	Chordata	1893.0	0
HiC_scaffold_278	3000	0.3867	0	3.3005	Chordata	15832.099999999999	1
HiC_scaffold_279	1274	0.3383	0	0.0	Chordata	2165.0	0
HiC_scaffold_280	4138	0.405	0	1.1964	Chordata	21794.3	0
HiC_scaffold_281	4364	0.412	0	2.2689	Chordata	50715.0	0
HiC_scaffold_282	2383	0.5644	0	0.0	Chordata	2083.2	0
HiC_scaffold_283	2097	0.4692	0	0.0	Chordata	2649.0	0
HiC_scaffold_284	1017	0.4474	0	0.0	Chordata	3034.0	1
HiC_scaffold_285	1555	0.4122	0	0.0	Chordata	6738.6	0
HiC_scaffold_286	5000	0.4272	0	9.9014	Chordata	10783.8	0
HiC_scaffold_287	7000	0.397	0	14.1448	Chordata	30402.999999999993	0
HiC_scaffold_288	9000	0.4087	0	4.9507	Chordata	101742.79999999999	1
HiC_scaffold_289	2000	0.414	0	0.0	Chordata	3800.0	0
HiC_scaffold_290	29000	0.4004	100	7.3661	Chordata	171720.59999999986	2
HiC_scaffold_291	1000	0.35	0	0.0	Chordata	2845.0	0
HiC_scaffold_292	7000	0.4169	0	0.0	Chordata	16806.000000000004	0
HiC_scaffold_293	12721	0.4795	0	124.5356	Chordata	198806.9	1
HiC_scaffold_294	2366	0.3914	0	0.0	Chordata	12358.499999999995	0
HiC_scaffold_295	3016	0.4161	0	0.0	Chordata	48575.0	0
HiC_scaffold_296	1325	0.5102	0	0.0	Chordata	1939.0	0
HiC_scaffold_297	2169	0.3416	0	2.2825	Chordata	8155.0	0
HiC_scaffold_298	2193	0.5449	0	2.2575	Chordata	911.0	0
HiC_scaffold_299	1041	0.4995	0	0.0	Chordata	8668.0	0
HiC_scaffold_300	1030	0.399	0	0.0	Chordata	1963.0	0
HiC_scaffold_301	1000	0.471	0	4.9507	Chordata	10595.0	2
HiC_scaffold_302	8000	0.358	0	9.2825	Chordata	85627.8	0
HiC_scaffold_303	6000	0.3718	0	6.6009	Chordata	36409.299999999996	0
HiC_scaffold_304	2000	0.367	0	4.9507	Chordata	12144.0	0
HiC_scaffold_305	2305	0.6061	0	8.5912	Chordata	941.0	0
HiC_scaffold_306	39100	0.4008	100	6.9817	Chordata	276838.5999999996	1
HiC_scaffold_307	5000	0.3604	0	3.9605	Chordata	34169.200000000004	2
HiC_scaffold_308	1854	0.3937	0	0.0	Chordata	6404.3	1
HiC_scaffold_309	2000	0.4365	0	0.0	Chordata	11787.4	0
HiC_scaffold_310	81100	0.4006	300	4.0439	Chordata	556347.2	0
HiC_scaffold_311	6066	0.4552	0	2.4484	Chordata	24677.4	1
HiC_scaffold_312	10000	0.4203	0	3.4655	Chordata	53740.600000000006	0
HiC_scaffold_313	41000	0.4139	0	6.6412	Chordata	165534.10000000003	1
HiC_scaffold_314	22000	0.4305	100	4.2951	Chordata	68571.80000000005	0
HiC_scaffold_315	9000	0.4474	0	7.7011	Chordata	50752.50000000001	0
HiC_scaffold_316	2000	0.4145	0	0.0	Chordata	5548.400000000001	0
HiC_scaffold_317	2000	0.4175	0	9.9014	Chordata	29304.0	1
HiC_scaffold_318	7000	0.4684	0	13.4376	Chordata	33266.59999999999	0
HiC_scaffold_319	20000	0.3569	0	9.6538	Chordata	192905.70000000004	1
HiC_scaffold_320	2000	0.3445	0	4.9507	Chordata	10965.0	0
HiC_scaffold_321	14000	0.3894	0	6.7188	Chordata	94749.69999999998	1
HiC_scaffold_322	37000	0.3942	100	6.3057	Chordata	442956.39999999997	0
HiC_scaffold_323	2000	0.3965	0	7.426	Chordata	25199.3	0
HiC_scaffold_324	1205	0.5494	0	0.0	Chordata	4342.300000000001	1
HiC_scaffold_325	1513	0.3992	0	0.0	Chordata	12962.0	0
HiC_scaffold_326	79000	0.4134	100	5.8354	Chordata	542168.3999999998	1
HiC_scaffold_327	1352	0.4038	0	0.0	Chordata	3040.1	0
HiC_scaffold_328	23985	0.4138	0	3.0961	Chordata	165993.69999999998	1
HiC_scaffold_329	16901	0.4178	0	2.0505	Chordata	108759.80000000002	0
HiC_scaffold_330	6664	0.4275	0	1.4858	Chordata	59658.0	0
HiC_scaffold_331	24120	0.4473	0	3.6945	Chordata	101243.99999999999	0
HiC_scaffold_332	1229	0.4687	0	0.0	Chordata	4601.0	0
HiC_scaffold_333	19000	0.4121	0	6.5141	Chordata	202115.2	0
HiC_scaffold_334	3000	0.3813	0	11.5516	Chordata	5374.4	0
HiC_scaffold_335	6000	0.4337	100	3.3564	Chordata	67308.49999999999	1
HiC_scaffold_336	10000	0.3738	0	8.4162	Chordata	92705.0	0
HiC_scaffold_337	29000	0.3677	100	9.593	Chordata	206017.79999999993	1
HiC_scaffold_338	2000	0.477	0	7.426	Chordata	5758.6	1
HiC_scaffold_339	5000	0.4238	0	4.9507	Chordata	15239.0	0
HiC_scaffold_340	1333	0.4704	0	0.0	Chordata	7034.0	0
